Market Store Name,Carrier - Service Selected,Market - Store Name,Order - Number,Ship To - Country,Ship To - Postal Code,Shipment - Weight (Oz),Shipment - Zone,Sum - Total of Line Item Quantity,Shipping Paid,Tracking Number,Length,Width,Height,Insurance,Dim Weight Applied,Dim Weight,Billable Weight oz,Rounded Oz,Shipping Rate,Peak Surcharges,Date - Shipped Date
Halftee,DHL SM Parcel Expedited,Halftee,HT189826,US,37664-4688,3.9,7,3,1.98,420376649361211015300886786764,10,13,1,,Yes,13,13,4,7.45,0,2025-10-09
Halftee,DHL SM Parcel Expedited,Halftee,HT189749,US,37716-5905,4.7,7,2,6.97,420377169361211015300884840024,10,13,1,,Yes,13,13,5,7.45,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,112-1145589-1475421,US,38671-9798,4.1,6,1,0,420386719361211015300884564715,10,13,1,,Yes,13,13,5,7.27,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,112-5210848-5966632,US,40241-5430,4,6,1,0,420402419361211015300887581641,10,13,1,,Yes,13,13,4,7.27,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189723,US,43119-9354,2.5,7,4,0,420431199361211015300884825519,10,13,1,,Yes,13,13,3,7.45,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189859,US,46143-7892,5,6,1,6.97,420461439361211015300887439263,10,13,1,,Yes,13,13,5,7.27,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189381-EXC,US,46235-6139,10.2,6,1,0,420462359361211015300884815978,10,13,1,,Yes,13,13,11,7.27,0,2025-10-06
Halftee,USPS Ground Advantage,Halftee,HT189566,US,47172-9099,6.5,6,2,6.97,9400150105501193060116,10,13,1,0,No,13,7,7,4.79,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189322-EXC,US,27540-8285,2.8,7,1,0,420275409361211015300884825526,10,13,1,,Yes,13,13,3,7.45,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189724,US,87109-4217,8.4,4,2,6.97,420871099361211015300886875611,10,13,1,,Yes,13,13,9,6.85,0,2025-10-09
Halftee,USPS Ground Advantage,Halftee,HT189820,US,87507-0196,1.7,4,1,6.97,9400150206217319159418,10,13,1,0,No,13,2,2,4.23,0,2025-10-09
Halftee,USPS Ground Advantage,Halftee,HT189688,US,91701-7705,4,4,1,6.97,9400150206217313750567,10,13,1,0,No,13,4,4,4.23,0,2025-10-06
Halftee,UPSÂ® Ground,Halftee,HT189690,US,76226-1307,26.6,5,5,1.98,1ZH594030334661459,10,13,1,0,Yes,13,32,32,10.07,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189821,US,77351-5990,4.2,6,1,6.97,420773519361211015300886826606,10,13,1,,Yes,13,13,5,7.27,0,2025-10-09
Halftee,UPSÂ® Ground,Halftee,95TDBX78EE,US,77373-8314,57.2,6,16,0,1ZH594030309516216,9,12,5,0,Yes,64,64,64,17.53,0,2025-10-06
Halftee,USPS Ground Advantage,Halftee,114-9974383-6797064,US,84315-9507,0.6,2,2,0,9400150105501193059783,10,13,1,0,No,13,1,1,4.11,0,2025-10-06
Halftee,USPS Ground Advantage,Halftee,HT189714,US,84321-5492,3.1,2,1,6.97,9400150105501193048558,10,13,1,0,No,13,4,4,4.11,0,2025-10-06
Halftee,UPSÂ® Ground,Halftee,HT189849,US,84606-4821,17.1,2,2,6.97,1ZH594030332433486,10,13,1,0,Yes,13,32,32,9.01,0,2025-10-10
Halftee,USPS Ground Advantage,Halftee,106109,US,84629-5603,90,2,0,0,9434650206217094846956,14,11,6,0,No,96,96,96,10.21,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189856,US,84656,7.2,2,2,6.97,420846569361211015300887581689,10,13,1,,Yes,13,13,8,6.7,0,2025-10-10
Halftee,USPS Ground Advantage,Halftee,HT189829,US,84737-3362,4.7,3,1,0,9400150105501198322875,10,13,1,0,No,13,5,5,4.62,0,2025-10-09
Halftee,DHL SM Parcel Expedited,Halftee,HT189831,US,84713,9.3,3,4,1.98,420847139361211015300886791416,10,13,1,,Yes,13,13,10,6.77,0,2025-10-09
Halftee,USPS Ground Advantage,Halftee,HT189686,US,84721-5897,7.9,3,1,6.97,9400150105501193046684,10,13,1,0,No,13,8,8,4.62,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189885,US,85213-5568,10.4,4,1,0,420852139361211015300887439232,10,13,1,,Yes,13,13,11,6.85,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,113-3581440-8442637,US,85297-1145,4.8,4,1,0,420852979361211015300886766506,10,13,1,,Yes,13,13,5,6.85,0,2025-10-09
Halftee,DHL SM Parcel Expedited,Halftee,113-5780787-1361013,US,85379-1033,11,4,2,0,420853799361211015300884588926,10,13,1,,Yes,13,13,11,6.85,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189877,US,85650-6891,12,5,1,0,420856509361211015300887439249,10,13,1,,Yes,13,13,12,7.02,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189623,US,64048-9271,10.1,5,3,1.98,420640489361211015300884682860,10,13,1,,Yes,13,13,11,7.02,0,2025-10-06
